Close,SMA14,SMA50,SMA14IND,SMA50IND,Bulls,CCI,DM,OSMA,RSI,Stoch,Decision
1.54079,1.54563,1.55748,-0.00033,-0.00041,-0.005,0,-0.1,0,0,-10,STRONGSELL
1.53563,1.54509,1.55700,-0.00055,-0.00047,0.002,-80,0,-0.0005,0,-10,STRONGSELL
1.53279,1.54428,1.55637,-0.00081,-0.00063,-0.004,0,-0.1,-0.0005,-10,-10,STRONGSELL
1.53021,1.54318,1.55563,-0.00109,-0.00074,-0.001,0,0,-0.0005,0,0,STRONGSELL
1.52915,1.54168,1.55490,-0.00150,-0.00073,-0.0015,40,-0.1,0,0,10,STRONGSELL
1.5261,1.54007,1.55420,-0.00162,-0.00070,0.0005,0,0,-0.0005,0,10,WAIT
1.52568,1.53899,1.55337,-0.00108,-0.00083,-0.001,20,0,0,0,10,WAIT
1.52544,1.53767,1.55255,-0.00132,-0.00082,0.0025,20,-0.1,0,0,0,STRONGSELL
1.52689,1.53637,1.55173,-0.00129,-0.00082,0.00177,40,0,0.0005,0,10,SELL
1.52554,1.53519,1.55094,-0.00118,-0.00079,0.00373,0,0.1,0.0005,0,10,SELL
1.51677,1.53378,1.55009,-0.00141,-0.00085,-0.0045,-80,-0.1,-0.0005,-10,-20,WAIT
1.52466,1.53174,1.54900,-0.00204,-0.00108,0.0015,80,0,0.0005,20,0,STRONGSELL
1.52351,1.53026,1.54813,-0.00148,nan,0.001,0,0,0.0005,0,0,STRONGSELL
1.51609,1.52887,1.54731,-0.00139,-0.00081,-0.0045,-80,0,-0.0005,-10,10,STRONGSELL
1.51168,1.52709,1.54606,-0.00178,-0.00125,-0.001,-40,0,0,0,-20,STRONGSELL
1.49768,1.52501,1.54472,-0.00208,-0.00133,0.0045,-10,0,-0.0015,-10,-20,BUY
1.49135,1.52230,1.54314,-0.00271,-0.00158,-0.01425,0,-0.1,-0.001,0,10,BUY
1.49836,1.51934,1.54144,-0.00296,-0.00171,0.005,70,0.1,0,10,10,STRONGSELL
1.49962,1.51706,1.53988,-0.00227,-0.00156,0,40,0,0.0005,0,20,STRONGSELL
1.49378,1.51496,1.53834,-0.00211,-0.00154,0,-20,0,0,0,0,BUY
1.48669,1.51265,1.53685,-0.00231,-0.00149,0,0,0,0,0,0,STRONGBUY
1.49415,1.50986,1.53523,-0.00278,-0.00163,0.00425,40,0,0.0005,10,0,BUY
1.49483,1.50763,1.53381,-0.00223,-0.00141,0.003,19.95,0,0.001,0,0,STRONGBUY
1.49693,1.50534,1.53237,-0.00229,-0.00144,0.001,20.05,0,0.001,0,20,STRONGBUY
1.49611,1.50329,1.53109,-0.00204,-0.00128,-0.0005,0,0,0.001,0,10,STRONGBUY
1.50627,1.50182,1.52972,-0.00148,-0.00137,0.0095,80,0.1,0.001,10,10,WAIT
1.50046,1.50050,1.52860,-0.00131,-0.00112,-0.0005,-40,0,0.0005,0,-10,STRONGBUY
1.50212,1.49886,1.52765,-0.00165,-0.00095,0,60,0,0.0005,0,0,STRONGBUY
1.50543,1.49786,1.52682,-0.00100,-0.00083,-0.00048,60,0,0.0005,0,0,BUY
1.51205,1.49741,1.52613,-0.00045,-0.00069,0.00498,40,0.1,0.00058,10,10,STRONGSELL
1.50976,1.49844,1.52561,0.00103,-0.00052,-0.0005,-40,0.2,0.00014,-10,0,SELL
1.50814,1.49975,1.52497,0.00131,-0.00064,-0.003,-40,0,-0.00018,0,0,BUY
1.50476,1.50045,1.52422,0.00070,-0.00075,-0.002,-40,-0.1,-0.00054,0,-20,SELL
